Contrato;Data de publicação;Data de celebração;Data de fecho;Prazo de execução;Preço contratual;Preço total efetivo;Entidade adjudicante (NIF);Entidade adjudicatária (NIF);Entidade adjudicatária (ID);Incrementos superiores a 15%
449;09/09/2008;0;0;7;8.6;0.0;501306269;500134685;543;0
453;10/09/2008;0;0;365;13.75;4.75;508096707;229500536;548;0
454;10/09/2008;0;0;365;9.0;2.25;508096707;235750263;549;0
455;10/09/2008;0;21/08/2008 00:00;10;8.3;8.3;505309939;507388100;550;0
456;10/09/2008;0;0;120;11.79125;0.0;504807692;500122520;551;0
457;10/09/2008;0;0;20;46.26299;0.0;500051054;502721871;446;0
458;10/09/2008;0;0;1;55530.0;0.0;503539473;500257841;389;0
459;10/09/2008;0;0;1;2520.0;0.0;503539473;501336095;554;0
460;10/09/2008;0;0;1;24840.0;0.0;503539473;116823852;555;0
461;10/09/2008;0;0;1;4.99457;0.0;503539473;505134195;427;0
462;10/09/2008;0;0;1;1.26655;0.0;503539473;506628132;556;0
463;10/09/2008;0;0;85;260.0;0.0;501157280;501426230;558;0
464;10/09/2008;0;0;1;3.75;0.0;502098139;504961292;285;0
465;10/09/2008;0;0;30;5460.0;0.0;600000125;500703795;561;0
466;01/09/2008;0;0;1;7.83489;0.0;501272968;508371309;563;0
467;10/09/2008;28/08/2008 00:00;22/01/2009 00:00;108;25.0;15.77009;506791238;501103490;564;0
469;10/09/2008;0;0;2;7669.0;0.0;502098139;503536717;321;0
470;10/09/2008;0;0;21;63.96636;0.0;506802698;504062859;566;0
471;08/09/2008;0;0;365;56.79878;0.0;505335018;500131210;568;0
472;10/09/2008;0;0;364;94448.0;0.0;501651888;502038411;570;0
473;11/09/2008;0;0;8;39684.0;0.0;600000125;501561811;571;0
474;11/09/2008;0;0;3;22632.0;0.0;600000125;500600724;572;0
475;11/09/2008;0;0;2;12779.0;0.0;600000125;78913993;484;0
476;11/09/2008;0;0;1;40691.0;0.0;600000125;500290946;573;0
477;11/09/2008;0;0;18;7.66;0.0;506614913;501196919;574;0
478;10/09/2008;0;0;5;3.21076;0.0;500086826;502242892;576;0
479;11/09/2008;0;0;2;73667.0;0.0;502098139;500297177;328;0
480;11/09/2008;0;0;5;47925.0;0.0;600000125;500886113;121;0
481;11/09/2008;0;0;4;75388.0;0.0;600000125;500886113;121;0
482;11/09/2008;0;0;15;6.7;0.0;502173653;508467977;580;0
483;11/09/2008;0;0;50;1.125;0.0;508590582;500260621;581;0
484;11/09/2008;0;0;1825;435.248;0.0;502177080;500697370;583;0
485;11/09/2008;0;0;2;44.748;0.0;512044023;512034095;201;0
486;11/09/2008;0;0;730;6.75587;0.0;512044023;502679468;40;0
487;11/09/2008;0;0;15;27.51584;0.0;512044023;512043434;584;0
488;11/09/2008;11/09/2008 00:00;18/12/2008 00:00;5;8.67228;8.67228;501205551;500221103;585;0
490;11/09/2008;09/09/2008 00:00;05/11/2008 00:00;51;112.99528;45.52296;501305734;500142858;587;0
492;11/09/2008;0;0;15;7.9975;0.0;501442600;502403861;589;0
493;11/09/2008;0;0;20;8.44879;0.0;506614913;504394029;192;0
494;11/09/2008;0;0;5;9442.0;0.0;600000125;502271450;591;0
495;11/09/2008;0;0;2;7050.0;0.0;503539473;500297177;328;0
496;11/09/2008;0;0;4;47450.0;0.0;503539473;500297177;328;0
497;11/09/2008;0;19/06/2009 00:00;174;16.008;16.008;506785815;163411786;594;0
498;11/09/2008;0;19/06/2009 00:00;174;17.748;17.748;506785815;115128670;595;0
499;11/09/2008;0;19/06/2009 00:00;174;13.05;13.05;506785815;145038831;596;0
500;11/09/2008;0;19/06/2009 00:00;174;42.978;42.978;506785815;501812466;597;0
501;11/09/2008;0;19/06/2009 00:00;174;39.498;39.498;506785815;501812466;597;0
502;11/09/2008;0;0;2;47.8464;0.0;506829260;501061479;599;0
503;10/09/2008;09/09/2008 00:00;15/06/2009 00:00;120;56.74815;56.74815;505410850;501282564;600;0
505;11/09/2008;0;0;2;26.25;0.0;505187531;503589780;602;0
506;11/09/2008;0;0;9;10.3;0.0;505387131;508250960;603;0
507;11/09/2008;0;0;9;47520.0;0.0;508590582;500127166;604;0
508;11/09/2008;0;0;1;23.175;0.0;512084726;500247480;98;0
509;11/09/2008;0;0;10;7.99932;0.0;506907619;502640421;607;0
510;11/09/2008;0;0;20;10.044;0.0;501937471;502933747;609;0
511;11/09/2008;11/09/2008 00:00;12/10/2008 00:00;15;9.626;9.626;506321894;501155015;611;0
513;11/09/2008;0;0;2;6.4;0.0;506197174;506750221;614;0
514;12/09/2008;0;0;365;73666.0;0.0;502098139;500194670;125;0
515;12/09/2008;0;31/12/2010 00:00;30;8.375;8.375;502510439;503387398;617;0
516;12/09/2008;03/09/2008 00:00;31/10/2008 00:00;1095;15.39;15.39;502657456;505244713;619;0
